zip,county_name
45242,Hamilton
45243,Hamilton
45244,Hamilton
45245,Clermont
45246,Hamilton
45247,Hamilton
45248,Hamilton
45249,Hamilton
45250,Hamilton
45251,Hamilton
45252,Hamilton
45253,Hamilton
45254,Hamilton
45255,Hamilton
45258,Hamilton
45262,Hamilton
45263,Hamilton
45264,Hamilton
45267,Hamilton
45268,Hamilton
45269,Hamilton
45270,Hamilton
45271,Hamilton
45273,Hamilton
45274,Hamilton
45277,Hamilton
45280,Hamilton
45296,Hamilton
45298,Hamilton
45299,Hamilton
45301,Greene
45302,Shelby
45303,Darke
45304,Darke
45305,Greene
45306,Shelby
45307,Greene
45308,Darke
45309,Montgomery
45310,Mercer
45311,Preble
45312,Miami
45314,Greene
45315,Montgomery
45316,Greene
45317,Miami
45318,Miami
45319,Clark
45320,Preble
45321,Preble
45322,Montgomery
45323,Clark
45324,Greene
45325,Montgomery
45326,Miami
45327,Montgomery
45328,Darke
45330,Preble
45331,Darke
45332,Darke
45333,Shelby
45334,Shelby
45335,Greene
45336,Shelby
45337,Miami
45338,Preble
45339,Miami
45340,Shelby
45341,Clark
45342,Montgomery
45343,Montgomery
45344,Clark
45345,Montgomery
45346,Darke
45347,Preble
45348,Darke
45349,Clark
45350,Darke
45351,Darke
45352,Darke
45353,Shelby
45354,Montgomery
45356,Miami
45358,Darke
45359,Miami
45360,Shelby
45361,Miami
45362,Darke
45363,Shelby
45365,Shelby
45367,Shelby
45368,Clark
45369,Clark
45370,Greene
45371,Miami
45372,Clark
45373,Miami
45374,Miami
45377,Montgomery
45378,Preble
45380,Darke
45381,Preble
45382,Preble
45383,Miami
45384,Greene
45385,Greene
45387,Greene
45388,Darke
45389,Champaign
45390,Darke
45401,Montgomery
45402,Montgomery
45403,Montgomery
45404,Montgomery
45405,Montgomery
45406,Montgomery
45408,Montgomery
45409,Montgomery
45410,Montgomery
45412,Montgomery
45413,Montgomery
45414,Montgomery
45415,Montgomery
45416,Montgomery
45417,Montgomery
45419,Montgomery
45420,Montgomery
45422,Montgomery
45423,Montgomery
45424,Montgomery
45426,Montgomery
45428,Montgomery
45429,Montgomery
45430,Greene
45431,Montgomery
45432,Greene
45433,Greene
45434,Greene
45435,Greene
45437,Montgomery
45439,Montgomery
45440,Greene
45441,Montgomery
45448,Montgomery
45449,Montgomery
45458,Montgomery
45459,Montgomery
45469,Montgomery
45470,Montgomery
45475,Montgomery
45479,Montgomery
45481,Greene
45482,Montgomery
45490,Montgomery
45501,Clark
45502,Clark
45503,Clark
45504,Clark
45505,Clark
45506,Clark
45601,Ross
45612,Ross
45613,Pike
45614,Gallia
45616,Adams
45617,Ross
45618,Adams
45619,Lawrence
45620,Gallia
45621,Jackson
45622,Vinton
45623,Gallia
45624,Pike
45628,Ross
45629,Scioto
45630,Scioto
45631,Gallia
45633,Ross
45634,Vinton
45636,Scioto
45638,Lawrence
45640,Jackson
45642,Pike
45643,Gallia
45644,Ross
45645,Lawrence
45646,Pike
45647,Vinton
45648,Scioto
45650,Adams
45651,Vinton
45652,Scioto
45653,Scioto
45654,Vinton
45656,Jackson
45657,Scioto
45658,Gallia
45659,Lawrence
45660,Adams
45661,Pike
45662,Scioto
45663,Scioto
45669,Lawrence
45671,Scioto
45672,Vinton
45673,Ross
45674,Gallia
45675,Lawrence
45677,Scioto
45678,Lawrence
45679,Adams
45680,Lawrence
45681,Ross
45682,Scioto
45683,Pike
45684,Scioto
45685,Jackson
45686,Gallia
45687,Pike
45688,Lawrence
45690,Pike
45692,Jackson
45693,Adams
45694,Scioto
45695,Vinton
45696,Lawrence
45697,Adams
45698,Vinton
45699,Scioto
45701,Athens
45710,Meigs
45711,Athens
45712,Washington
45713,Washington
45714,Washington
45715,Morgan
45716,Athens
45717,Athens
45719,Athens
45720,Meigs
45721,Washington
45723,Athens
45724,Washington
45727,Noble
45729,Washington
45732,Athens
45734,Monroe
45735,Athens
45739,Athens
45740,Athens
45741,Meigs
45742,Washington
45743,Meigs
45744,Washington
45745,Noble
45746,Washington
45750,Washington
45760,Meigs
45761,Athens
45764,Athens
45766,Athens
45767,Washington
45768,Washington
45769,Meigs
45770,Meigs
45771,Meigs
45772,Meigs
45773,Washington
45775,Meigs
45776,Meigs
45777,Athens
45778,Athens
45779,Meigs
45780,Athens
45782,Athens
45783,Meigs
45784,Washington
45786,Washington
45787,Washington
45788,Washington
45789,Washington
45801,Allen
45802,Allen
45804,Allen
45805,Allen
45806,Allen
45807,Allen
45808,Allen
45809,Allen
45810,Hardin
45812,Hardin
45813,Paulding
45814,Hancock
45815,Putnam
45816,Hancock
45817,Allen
45819,Auglaize
45820,Allen
45821,Paulding
45822,Mercer
45826,Mercer
45827,Putnam
45828,Mercer
45830,Putnam
45831,Putnam
45832,Van Wert
45833,Allen
45835,Hardin
45836,Hardin
45837,Putnam
45838,Van Wert
45839,Hancock
45840,Hancock
45841,Hancock
45843,Hardin
45844,Putnam
45845,Shelby
45846,Mercer
45848,Putnam
45849,Paulding
45850,Allen
45851,Paulding
45853,Putnam
45854,Allen
45855,Paulding
45856,Putnam
45858,Hancock
45859,Hardin
45860,Mercer
45861,Paulding
45862,Mercer
45863,Van Wert
45864,Putnam
45865,Auglaize
45866,Mercer
45867,Hancock
45868,Hancock
45869,Auglaize
45870,Auglaize
45871,Auglaize
45872,Wood
45873,Paulding
45874,Van Wert
45875,Putnam
45876,Putnam
45877,Putnam
45879,Paulding
45880,Paulding
45881,Hancock
45882,Mercer
45883,Mercer
45884,Auglaize
45885,Auglaize
45886,Van Wert
45887,Allen
45888,Auglaize
45889,Hancock
45890,Hancock
45891,Van Wert
45893,Putnam
45894,Van Wert
45895,Auglaize
45896,Auglaize
45897,Hancock
45898,Van Wert
45899,Van Wert
